pick up the red arch.
pick up the pink arch.
pick up the red cube.
pick up the purple triangular prism.
pick up the yellow cylinder.
pick up the red regular quadrangular prism.
pick up the cyan cuboid.
pick up the green arch.
pick up the cyan triangular prism.
pick up the gray arch.
pick up the purple cuboid.
pick up the orange cube.
pick up the yellow cuboid.
pick up the brown semi-cylinder.
pick up the green cylinder.
pick up the pink cylinder.
pick up the cyan arch.
pick up the brown arch.
pick up the brown cube.
pick up the red cylinder.
pick up the yellow triangular prism.
pick up the yellow arch.
pick up the blue regular quadrangular prism.
pick up the gray cuboid.
pick up the blue semi-cylinder.
pick up the cyan cube.
pick up the orange semi-cylinder.
pick up the pink semi-cylinder.
pick up the orange regular quadrangular prism.
pick up the red semi-cylinder.
pick up the pink regular quadrangular prism.
pick up the yellow semi-cylinder.
pick up the gray semi-cylinder.
pick up the orange triangular prism.
pick up the pink cube.
pick up the purple semi-cylinder.
pick up the green cuboid.
pick up the yellow cube.
pick up the blue arch.
pick up the brown regular quadrangular prism.
pick up the blue cube.
pick up the blue triangular prism.
pick up the purple regular quadrangular prism.
pick up the purple cylinder.
pick up the green regular quadrangular prism.
pick up the cyan regular quadrangular prism.
pick up the gray triangular prism.
pick up the red triangular prism.
pick up the pink cuboid.
pick up the red cuboid.
pick up the brown cuboid.
pick up the blue cuboid.
pick up the pink triangular prism.
pick up the cyan semi-cylinder.
pick up the green cube.
pick up the cyan cylinder.
pick up the orange arch.
pick up the gray cylinder.
pick up the yellow regular quadrangular prism.
pick up the gray cube.
pick up the orange cuboid.
pick up the purple arch.
pick up the green triangular prism.
pick up the blue cylinder.
pick up the orange cylinder.
pick up the gray regular quadrangular prism.
pick up the brown triangular prism.
pick up the green semi-cylinder.
pick up the brown cylinder.
pick up the purple cube.
